he eyed:2
eyed them:2
them angrily:1
angrily as:2
didn know:22
know why:15
they made:52
made him:26
him uneasy:2
this bunch:1
bunch were:1
and he:842
couldn see:16
see a:34
a single:44
single collecting:1
collecting tin:1
on his:275
his way:37
way back:21
back past:2
past them:5
clutching a:2
large doughnut:1
doughnut in:1
a bag:10
he caught:44
caught a:35
few words:8
words of:46
of what:59
what they:76
were saying:8
that right:3
that what:39
what i:112
i heard:62
heard yes:1
their son:2
dursley stopped:1
stopped dead:7
fear flooded:1
flooded him:1
he looked:190
looked back:44
back at:30
the whisperers:1
whisperers as:1
as if:420
he wanted:37
wanted to:43
say something:6
something to:38
to them:142
but thought:2
thought better:2
better of:7
of it:284
he dashed:2
dashed back:2
back across:5
hurried up:4
up to:146
to his:362
snapped at:4
at his:138
his secretary:1
secretary not:1
not to:159
to disturb:6
disturb him:1
seized his:6
his telephone:1
had almost:15
almost finished:1
finished dialing:1
dialing his:1
his home:15
home number:1
number when:1
he changed:2
changed his:5
he put:49
the receiver:1
receiver back:1
back down:22
down and:90
and stroked:2
stroked his:2
his mustache:3
was being:15
being stupid:2
potter wasn:1
wasn such:1
such an:12
an unusual:3
unusual name:1
was sure:8
sure there:2
there were:279
were lots:3
lots of:34
of people:18
people called:1
called potter:1
potter who:1
who had:94
a son:4
called harry:2
come to:205
think of:91
he wasn:17
wasn even:2
even sure:1
sure his:1
his nephew:2
nephew was:1
was called:16
he never:34
seen the:20
it might:45
been harvey:1
or harold:1
no point:2
point in:7
in worrying:1
worrying mrs:1
she always:3
always got:1
got so:3
so upset:2
upset at:2
at any:102
any mention:2
mention of:7
didn blame:1
blame her:1
her if:1
sister like:1
but all:44
all the:679
the same:209
those people:4
he found:85
it a:69
lot harder:1
that afternoon:5
afternoon and:2
and when:119
the building:2
building at:1
five o:2
was still:142
still so:1
so worried:4
worried that:1
he walked:34
walked straight:4
straight into:7
into someone:1
someone just:1
just outside:6
outside the:43
the door:262
he grunted:4
as the:320
the tiny:3
tiny old:1
old man:80
man stumbled:1
stumbled and:6
and almost:10
almost fell:3
few seconds:8
seconds before:2
before mr:2
dursley realized:1
realized that:19
the man:49
man was:14
was wearing:12
wearing a:7
a violet:2
violet cloak:1
didn seem:7
seem at:1
all upset:1
at being:8
being almost:2
almost knocked:1
knocked to:1
the ground:287
the contrary:3
his face:133
face split:1
split into:1
into a:206
a wide:103
wide smile:1
smile and:1
he said:1027
said in:42
a squeaky:1
squeaky voice:1
voice that:10
that made:21
made passersby:1
passersby stare:1
don be:19
be sorry:6
my dear:35
dear sir:3
nothing could:17
could upset:1
upset me:1
me today:2
for you:134
you know:194
know who:35
who has:26
has gone:35
gone at:4
at last:469
even muggles:1
muggles like:1
like yourself:2
yourself should:1
should be:88
be celebrating:2
this happy:1
happy day:1
the old:257
man hugged:1
hugged mr:1
dursley around:1
the middle:97
middle and:2
and walked:29
walked off:6
dursley stood:1
stood rooted:4
rooted to:2
the spot:12
had been:534
been hugged:1
hugged by:1
by a:134
a complete:7
complete stranger:1
he also:12
also thought:3
been called:5
called a:9
a muggle:5
whatever that:3
that was:293
was rattled:1
he hurried:10
hurried to:3
and set:58
set off:22
off for:9
for home:7
hoping he:3
was imagining:4
imagining things:2
which he:74
never hoped:2
hoped before:1
because he:26
didn approve:1
approve of:2
of imagination:1
he pulled:27
pulled into:1
into the:805
the driveway:1
driveway of:1
first thing:7
thing he:15
he saw:176
saw and:4
and it:352
it didn:14
didn improve:2
improve his:1
his mood:5
mood was:2
the tabby:2
cat he:2
he spotted:1
spotted that:1
now sitting:1
sitting on:26
his garden:6
garden wall:2
sure it:14
same one:3
it had:192
had the:60
same markings:1
markings around:1
around its:2
its eyes:10
said mr:15
dursley loudly:1
cat didn:1
didn move:3
it just:9
just gave:1
gave him:30
him a:49
a stern:4
stern look:2
was this:7
this normal:1
normal cat:1
cat behavior:1
dursley wondered:2
trying to:136
to pull:13
pull himself:1
himself together:3
he let:19
let himself:2
himself into:3
still determined:2
determined not:2
to mention:14
mention anything:1
anything to:25
his wife:9
dursley had:2
had had:25
a nice:26
normal day:1
she told:2
told him:33
him over:6
over dinner:1
dinner all:1
about mrs:2
next door:6
door problems:1
problems with:2
with her:23
her daughter:1
daughter and:1
and how:35
how dudley:1
dudley had:16
had learned:9
learned a:2
a new:57
new word:1
dursley tried:1
to act:2
act normally:1
when dudley:2
been put:4
put to:11
to bed:43
he went:137
went into:17
the living:26
living room:8
room in:7
in time:57
time to:107
to catch:27
catch the:4
last report:1
report on:1
the evening:45
evening news:1
and finally:4
bird watchers:1
watchers everywhere:1
everywhere have:1
have reported:3
reported that:11
the nation:1
nation owls:1
owls have:2
been behaving:1
behaving very:2
very unusually:1
unusually today:1
although owls:1
owls normally:1
normally hunt:1
hunt at:1
at night:38
night and:22
and are:28
are hardly:1
hardly ever:3
ever seen:15
seen in:31
in daylight:3
there have:11
been hundreds:1
hundreds of:47
of sightings:1
sightings of:1
these birds:2
birds flying:1
flying in:3
in every:21
every direction:6
direction since:1
since sunrise:1
experts are:1
are unable:1
unable to:20
to explain:16
explain why:2
why the:11
have suddenly:1
suddenly changed:1
changed their:2
their sleeping:1
sleeping pattern:1
the newscaster:1
newscaster allowed:1
allowed himself:1
a grin:5
most mysterious:1
and now:135
over to:17
to jim:1
jim mcguffin:1
mcguffin with:1
with the:438
the weather:29
going to:263
be any:8
any more:58
more showers:1
showers of:1
of owls:4
owls tonight:1
said the:244
the weatherman:1
i don:264
don know:130
